,id,name,lat,lng,checkinsCount,tipCount,usersCount
10060,5062169ee4b0521ecb9fc2ab,The Maida Centre,51.53457378258357,-0.18842910758219691,12,0,8
10061,51c6c005e4b03190ae9cd2dd,Training House,51.53223883863955,-0.18752765161053203,87,0,3
10062,52835fc311d2e2a81ddd2e6e,مركز اسلامي انگليس | Islamic Centre Of England,51.53530637871987,-0.18895482136955913,8,0,5
10063,52521647498e0a9b64f54fbe,tfl bus n98,51.534202575683594,-0.18848660588264465,0,0,0
10064,4c55c6644623be9aa48607f5,The Queens Arms,51.535100987694136,-0.1896414273230249,302,8,170
10065,4c59d88bd3aee21e15406955,Islamic Centre,51.5330583902963,-0.18867315885652258,14,0,12
10066,51583b67e4b064814a993daa,Bus Stop KD,51.534332,-0.188548,2,0,1
10067,4c358086452620a1a1e3260f,TfL Bus 16,51.53480425870272,-0.19054412841796875,340,1,77
10068,4e959a636da11612549906f5,RB BUILDING,51.533992767333984,-0.1885986030101776,0,0,0
10070,4c6bd6f40c3ac9b629ccd238,Fratelli,51.53549131464151,-0.19003021262201697,55,1,31
10071,5138605de4b026682bacf960,Kish persian Restaurant,51.53576691154183,-0.19058428173152947,12,0,10
10072,4dc6e1a152b1e8f9f7f7ded9,Milad Supermarket,51.53498383257885,-0.1887094282296692,4,0,2
10073,4c1c09808b3aa5935440985f,Bar Hemia - Marriott Maida Vale,51.53563179690179,-0.19037246704101562,112,1,63
10075,4c78eccf794e224b82af6328,Iyengar Yoga Institute,51.532321553833874,-0.18921375274658203,92,0,33
10076,4de2579ce4cd056f7440e541,Rudolph Road bus stop,51.533116,-0.188691,1,0,1
10077,50867776526293c3d83f2b05,Dental Design Studio - Maida Vale,51.535017818387956,-0.18961071968078613,5,0,4
10078,4c41a724ff711b8dac361205,Kish restaurant,51.53534153292132,-0.19008074267242198,44,6,38
10079,51e7a86f498ea2a3becd322b,st georges school,51.53395977809986,-0.19038780746372003,5,0,2
10080,4cb35316b4b0a35d801560ce,St Augustine's Sport Centre,51.5341141955112,-0.19277083187593125,54,1,19
10081,4f588e06e4b014b62a92722f,Kilburn Medical Centre,51.534642777375595,-0.1934587755865331,34,0,12
10082,4b9267b5f964a52027f733e3,Tesco Express,51.53658952135478,-0.19194895956923116,401,1,200
10084,513c5e84e4b0a83407003906,Cambridge Gardens,51.53423651910044,-0.19385959831587318,11,0,6
10086,4cfa2ceefeec6dcb6a1b3e36,Royal Mail Delivery Office,51.53602809770156,-0.19410106621842288,125,2,67
10087,5061b6dae4b03bd4e04622be,Sanctum International,51.53637141195342,-0.19139375244440923,62,1,25
10088,4b9bf483f964a5202a3a36e3,The Old Bell,51.53685278646822,-0.19213971770331686,128,6,99
10089,504a6b87e4b0f228d7d532c7,Love & Liquor,51.536617436070024,-0.1919871943392549,246,4,155
10091,4b8299d9f964a52030da30e3,TfL Bus 316,51.509201807300535,-0.2158492298750794,326,1,58
10092,4cc34cc71e596dcbd694c967,32 Primrose Gardens,51.533837,-0.192976,2,0,2
10094,4c5df12e7f661b8d20ed4c1c,TfL Bus 31,51.5364593200558,-0.19208908081054688,430,1,163
10095,524689d611d2b039e256710a,St. Augustine's Sports Centre,51.533773,-0.193276,1,0,1
10096,4d00b3f56923721ecafcc53b,St. Augustines School,51.53394702161245,-0.1919183440557319,16,0,12
10097,520bf269498e7870c7edd9c2,Bus Stop KC,51.53368344981934,-0.19295806384375755,2,0,2
10099,4c0a27367e3fc9281921f382,Macs,51.53672928546689,-0.192059821036625,91,3,46
10101,4d41335a1bd2a143b3effa7c,CoreCreative,51.534092681300024,-0.1938988811391063,15,0,1
10102,5082d5f2e4b07ddb617060dd,Tin Tabernacle,51.535917185710964,-0.19289869702699905,11,0,11
10103,506dc0a1e4b0748e04602b18,Rouge Hair & Beauty,51.535977,-0.191197,10,1,2
10104,51262a1de4b0260fb624c26e,Job Centre Plus Killburn,51.536598,-0.192378,3,0,3
10105,5231b6a5049336a76c8e79cb,SALTANAH ShiSha Cafe,51.534694141598486,-0.19380837678909302,2,0,2
10106,4bafb506f964a52092193ce3,Prince of Wales,51.53432434911996,-0.19408641859804482,12,0,11
10108,514a39cbe4b08933b78e3197,Roosters Peri Peri,51.53707,-0.192376,24,1,7
10111,4f896269e4b005979e290a6c,Ozan Supermarket And Off License,51.537333734633705,-0.06761511999175233,129,0,6
10112,4ee2a125e4b0770c812fe23b,Shrubland,51.538824366401165,-0.06718855138207386,8,0,6
10113,4c9fa87727d3bfb725c13167,Middleton Road,51.540575,-0.068965,99,0,27
10115,52776ea5498e522368b7ba30,Tomilson centre,51.539371972076175,-0.06958916854642774,4,0,2
10116,4d45d56fe198721e20c7c98b,Albion Square,51.539550412244054,-0.07194343767652554,138,0,26
10117,4f78985be4b06ff8374c8453,super save,51.53947836075679,-0.06305101502982016,22,0,4
10118,500c2819e4b067574f078f32,brick lane vibe bar,51.53993179034726,-0.0702488054892951,6,0,5
10119,4c5135b23940be9aa46b7908,Queensbridge Medical Centre,51.54169993,-0.07139063,27,2,15
10121,4ce45c664303f04d430293b8,G Unit,51.540496,-0.068777,28,0,4
10122,4c3887c4dfb0e21e3dadaea8,Albion Gardens,51.540496,-0.069042,13,0,10
10123,4e804a79be7bd52fa8f4314a,Sandringham Practice,51.53944,-0.07019,3,1,1
10124,4e0a1b93b61c60b04557f707,The Tomlinson Centre,51.539659380168004,-0.07047405861008359,38,0,21
10125,4fb6aed2e4b0451d41a5ee7f,Queensbridge Supermarket,51.540367854147405,-0.0701770762414221,29,0,6
10126,4eb5b9150cd688257830cfed,Middleton House,51.54022302585393,-0.06986618041992188,24,1,1
10127,52defadf11d22554d29922bf,Imagiantion,51.537578,-0.067072,0,0,0
10128,4c254598c11dc9b63ef62624,38 Lavendar,51.540938,-0.066692,31,0,8
10129,4ea99a7b6da1bfeaab846c59,Haggerston Tearoom,51.538265,-0.072636,89,2,54
10130,4fce881ae4b02f8c780376be,Downlow Road,51.538052055506434,-0.07015422393797031,13,0,5
10131,4d85d67761676dcb61a792e4,The Tho Jas,51.540495,-0.070179,59,1,3
10132,52623bc611d282e5c0a6a5eb,Workshop 44,51.53728847380204,-0.06729359593347561,2,0,2
10133,4e9dcf11cc2132d67d66edee,Acton Estate,51.53853390561601,-0.07153772673874878,33,0,5
10134,5085106ce4b0a74e53f81bbe,Workshop 44,51.537225480978755,-0.06705253496034401,12,0,4
10135,4c48099076d72d7f02103f4d,Queensbridge Sports and Community Centre,51.54242865692399,-0.0716345952540726,102,2,38
10136,4c06802c91d776b0f8eff8f9,Enjoy This,51.539333,-0.071132,1,0,1
10137,4da76af86a2364c7a33dc249,Hillborough Court,51.538671,-0.071437,143,0,11
10138,4cbdffeb020d4688fef15938,This Is It Studio,51.537726,-0.070068,1,0,1
10139,4db143a40cb6442b2ec59db7,Albion Drive,51.539246,-0.071221,2,0,1
10140,4bd70bc0cfa7b713358528da,Haggerston London Overground Station,51.53852806211916,-0.07575631141662598,2797,4,1018
10141,4be2857c660ec92816a8c93b,TfL Bus 149,51.540890317092455,-0.07656097412109375,1009,7,292
10142,4b3d0867f964a520618c25e3,The Fox,51.54071,-0.07641596666666667,1413,25,691
10144,4ee3529f7ee55891482c7836,Haggerston Espresso Room (HER),51.539110270140526,-0.07744885997398776,786,15,305
10145,522edadb11d25ac8de1723c0,The Pop Up Agency HQ,51.538229,-0.076528,273,1,10
10146,5246c7b611d2369b23042259,Tonkotsu East,51.53731899961832,-0.0760481718519572,240,18,171
10147,4f3c0394e4b08b7acf54b874,Duke's Brew & Que,51.53908527172926,-0.07868260145187377,1970,44,1147
10148,5246cf5611d2e78e9dd0f153,Bread & Butter Farmhouse Cafe,51.539461,-0.076768,126,2,52
10149,4b7f0a92f964a520411230e3,Ability Plaza,51.539111,-0.075704,263,2,45
10150,4b6e18faf964a5204eaa2ce3,Passing Clouds,51.54233496910157,-0.07553100585937499,1103,22,617
10151,4b84357ff964a5209e2731e3,Tesco Express,51.53824778644317,-0.07647514343261719,874,22,211
10152,4cf115fb1c158cfa3168ceb5,Studio Warm,51.539117,-0.075651,28,0,3
10153,52d09546498e56473d9d9cbb,Hackney,51.54213584420519,-0.06299123336102681,48,0,23
10154,4ae23d94f964a5203d8c21e3,The Haggerston,51.5423925683023,-0.07613676121175478,2150,27,1154
10155,4c274bdb5c5ca593bf8447fe,De Beauvoir Square,51.541101737590516,-0.07898702439922332,614,5,173
10157,51dbe6ca498eb7f414ac7384,Curio Cabal,51.53721587086508,-0.07680593046123822,105,3,73
10158,52514b0311d2775b863b4c61,Trip Kitchen,51.53676964165585,-0.0760931492616317,58,3,46
10159,4b5a0e84f964a5207daa28e3,Benyon Wharf,51.53723084642731,-0.07727641881562174,159,4,25
10160,5197662a498e9710517a3225,Crossfit Hackney,51.537899815840355,-0.07530917115528593,67,3,19
10161,52a0ccec11d214b78664f508,RPD International,51.53893,-0.076001,12,0,1
10162,524843b611d2b069ede36506,Haggerston,51.53873668900278,-0.07559360805990444,15,0,13
10163,4b2c184ff964a5207fc124e3,Duke of Wellington,51.539915799999996,-0.074574,151,0,82
10164,529644fd11d22a3862b2caaf,Mussel Men,51.542097,-0.076268,40,2,33
10167,502beff2e4b08c14a5fcc96b,Platform 1,51.53875732421875,-0.07578100264072418,40,0,5
10168,4ae05113f964a520a07e21e3,SAE Institute,51.5373,-0.076905,434,2,81
10169,5255393c7e48e6f74efc112e,Miproto HQ,51.538868394548196,-0.07627129554748535,36,1,2
10177,5252b7a511d2f2de4ce71519,Ozkutan Solicitors,51.53914096341719,-0.07767807391999207,5,1,2
10180,507827b8e4b00277f25dce6d,Association Of Photographers,51.53923323603121,-0.07791948671628952,2,0,1
10182,4f0914c8e4b0cc066cf46978,Earth,51.53925351615474,-0.07881514513427354,15,0,14
10185,52de9447498e62eda5b6fd33,RA_hq,51.538394,-0.078899,2,0,1
10187,525eca50498e005b21178340,54b,51.53951409711676,-0.08025148643966933,18,1,8
10188,5190f395498e9b4e19483737,RA Stables,51.53827257474699,-0.07815814077581906,6,0,2
10189,4d2754fc8292236ab7be0ebb,De Beauvoir Surgery,51.53838509167379,-0.07862907466214136,24,0,11
10190,4d222cf116cfb60c1c626761,Haggerston (Mayur's),51.53926961360139,-0.07726502413121668,3,0,2
10192,4c53f5ae06901b8dd605fd4a,Euro Cafe,51.538709,-0.076672,89,3,34
10193,4ba75632f964a520768c39e3,Essential Rubber,51.539078,-0.077312,5,1,3
